id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
11734,0.566906,tcp,http,FIN,10,10,826,1146,33.515258,62,252,10499.0957,14563.26172,2,2,62.989556,52.946777,4095.181631,97.857422,255,1661213007,910686324,255,0.104587,0.089665,0.014922,83,115,1,128,5,1,2,2,1,5,0,0,1,2,5,0,Reconnaissance,1
70705,0.42729,tcp,-,FIN,10,6,588,268,35.104964,254,252,9923.00293,4193.873047,2,1,46.496,60.370801,2499.607008,94.412883,255,293405984,2893449689,255,0.181843,0.125433,0.05641,59,45,0,0,6,1,1,1,1,4,0,0,0,1,4,0,Normal,0
40000,0.00112,udp,dns,CON,2,2,146,178,2678.571357,31,29,521428.5625,635714.25,0,0,0.008,0.011,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,2,0,0,0,2,1,0,Normal,0
23837,0.210582,tcp,-,FIN,24,26,2048,2410,232.688451,31,29,74574.27344,88060.70313,6,7,9.141087,8.40156,532.703937,0.0,255,2962167252,817065507,255,0.000696,0.000533,0.000163,85,93,0,0,1,0,3,1,1,1,0,0,0,1,9,0,Normal,0
75830,0.442368,tcp,-,CON,6,2,978,86,15.823929,62,252,14738.86035,777.633118,2,1,88.4736,0.01,5488.677779,0.0,255,2774967816,750586562,255,0.383694,0.234988,0.148706,163,43,0,0,6,3,2,2,1,5,0,0,0,2,5,0,Normal,0
2881,2e-06,emcon,-,INT,2,0,180,0,500000.0013,254,0,360000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,DoS,1
56646,5e-06,bna,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,12,2,4,2,3,4,0,0,0,4,12,0,Backdoor,1
48407,6e-06,udp,-,INT,2,0,1278,0,166666.6608,254,0,852000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,639,0,0,0,1,2,1,1,1,1,0,0,0,1,2,0,Generic,1
32310,1.334839,tcp,-,FIN,122,126,7808,15182,185.041044,31,29,46411.58984,90270.0625,30,32,11.028818,10.674488,730.372405,722.383488,255,523457413,559300514,255,0.000686,0.000524,0.000162,64,120,0,0,8,0,1,1,1,1,0,0,0,2,5,0,Normal,0
12539,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,31,2,19,19,19,31,0,0,0,19,31,0,Generic,1
20928,2e-06,udp,dns,INT,2,0,114,0,500000.0013,254,0,228000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,15,15,10,28,0,0,0,15,28,0,Generic,1
42840,5e-06,udp,-,INT,2,0,1098,0,200000.0051,254,0,878400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,549,0,0,0,11,2,2,2,1,8,0,0,0,2,8,0,Normal,0
